Cancer Site,Year,Sex,Age,Incidence and Survival Assumptions,Annual Cost Increase (applied to initial and last phases),Total Costs,Initial Year After Diagnosis Cost,Continuing Phase Cost,Last Year of Life Cost
Lymphoma,2016,Both sexes,All ages,"Incidence follows recent trend, Survival constant",0%,13829.5,3393.5,5642.6,4793.4
Lymphoma,2016,Both sexes,All ages,"Survival follows recent trend, Incidence constant",0%,14227,3480.6,5799,4947.4
Lymphoma,2016,Both sexes,All ages,"Incidence, Survival follow recent trends",0%,14056.9,3393.5,5760,4903.5
Lymphoma,2016,Both sexes,All ages,"Incidence, Survival follow recent trends",2%,15025.4,3821.6,5760,5443.9
Lymphoma,2016,Both sexes,All ages,"Incidence, Survival follow recent trends",5%,16667.7,4547.5,5760,6360.2
Melanoma,2016,Both sexes,All ages,"Incidence, Survival at constant rate",0%,2845.1,540.4,1926.2,378.5
Melanoma,2016,Both sexes,All ages,"Incidence follows recent trend, Survival constant",0%,3193.5,704.5,2065.2,423.8
Melanoma,2016,Both sexes,All ages,"Survival follows recent trend, Incidence constant",0%,2854.8,540.4,1934.2,380.2
Melanoma,2016,Both sexes,All ages,"Incidence, Survival follow recent trends",0%,3204.7,704.5,2074.4,425.8
Melanoma,2016,Both sexes,All ages,"Incidence, Survival follow recent trends",2%,3343.9,793.4,2074.4,476.2
Melanoma,2016,Both sexes,All ages,"Incidence, Survival follow recent trends",5%,3579.9,944.1,2074.4,561.5
Ovary,2016,Females,All ages,"Incidence, Survival at constant rate",0%,5685.3,1489.6,1842,2353.7
Ovary,2016,Females,All ages,"Incidence follows recent trend, Survival constant",0%,4626.8,893.8,1670.7,2062.2
Ovary,2016,Females,All ages,"Survival follows recent trend, Incidence constant",0%,5812.5,1489.6,1893.6,2429.4
Ovary,2016,Females,All ages,"Incidence, Survival follow recent trends",0%,4718.4,893.8,1708.3,2116.3
Ovary,2016,Females,All ages,"Incidence, Survival follow recent trends",2%,5086.8,1006.6,1708.3,2371.9
Ovary,2016,Females,All ages,"Incidence, Survival follow recent trends",5%,5711.4,1197.8,1708.3,2805.3
Pancreas,2016,Both sexes,All ages,"Incidence, Survival at constant rate",0%,2607.3,1610.2,132.3,864.8
Pancreas,2016,Both sexes,All ages,"Incidence follows recent trend, Survival constant",0%,2584.7,1594.7,131.7,858.3
Pancreas,2016,Both sexes,All ages,"Survival follows recent trend, Incidence constant",0%,2800.4,1610.2,175.9,1014.4
Pancreas,2016,Both sexes,All ages,"Incidence, Survival follow recent trends",0%,2776.2,1594.7,175,1006.5
Pancreas,2016,Both sexes,All ages,"Incidence, Survival follow recent trends",2%,3097.9,1795.9,175,1127
Pancreas,2016,Both sexes,All ages,"Incidence, Survival follow recent trends",5%,3643.4,2137.1,175,1331.3
Prostate,2016,Males,All ages,"Incidence, Survival at constant rate",0%,14320.4,5382.3,7619.7,1318.4
Prostate,2016,Males,All ages,"Incidence follows recent trend, Survival constant",0%,13719.5,5000.2,7428.8,1290.5
Prostate,2016,Males,All ages,"Survival follows recent trend, Incidence constant",0%,14364.2,5382.3,7657.2,1324.7
Prostate,2016,Males,All ages,"Incidence, Survival follow recent trends",0%,13761.7,5000.2,7464.9,1296.5
Prostate,2016,Males,All ages,"Incidence, Survival follow recent trends",2%,14427.4,5631.1,7464.9,1331.4
Prostate,2016,Males,All ages,"Incidence, Survival follow recent trends",5%,15556.2,6700.8,7464.9,1390.5
Stomach,2016,Both sexes,All ages,"Incidence, Survival at constant rate",0%,2064.5,938.9,263.3,862.2
Stomach,2016,Both sexes,All ages,"Incidence follows recent trend, Survival constant",0%,1758.5,753.3,243.5,761.8
Stomach,2016,Both sexes,All ages,"Survival follows recent trend, Incidence constant",0%,2141.6,938.9,281.6,921.1
Stomach,2016,Both sexes,All ages,"Incidence, Survival follow recent trends",0%,1824.1,753.3,259.1,811.7
Stomach,2016,Both sexes,All ages,"Incidence, Survival follow recent trends",2%,2009.7,848.3,259.1,902.2
Stomach,2016,Both sexes,All ages,"Incidence, Survival follow recent trends",5%,2324.3,1009.5,259.1,1055.7
Uterus,2016,Both sexes,All ages,"Incidence, Survival at constant rate",0%,2848.8,1190.9,846.7,811.2
Uterus,2016,Both sexes,All ages,"Incidence follows recent trend, Survival constant",0%,2696.8,1091.3,821,784.5
Uterus,2016,Both sexes,All ages,"Survival follows recent trend, Incidence constant",0%,2845.4,1190.9,843.8,810.7
Uterus,2016,Both sexes,All ages,"Incidence, Survival follow recent trends",0%,2693.7,1091.3,818.3,784.1
Uterus,2016,Both sexes,All ages,"Incidence, Survival follow recent trends",2%,2915.8,1229,818.3,868.6
Uterus,2016,Both sexes,All ages,"Incidence, Survival follow recent trends",5%,3292.6,1462.5,818.3,1011.8
Other,2016,Both sexes,All ages,"Incidence, Survival at constant rate",0%,23470,4288.4,13002.6,6179
Other,2016,Both sexes,All ages,"Incidence follows recent trend, Survival constant",0%,24774.9,4484.8,13135.6,7154.5
Other,2016,Both sexes,All ages,"Survival follows recent trend, Incidence constant",0%,25584.7,4288.4,14725.1,6571.3
Other,2016,Both sexes,All ages,"Incidence, Survival follow recent trends",0%,26836.4,4484.8,14809.3,7542.3
Other,2016,Both sexes,All ages,"Incidence, Survival follow recent trends",2%,28052.2,5050.6,14809.3,8192.3
Other,2016,Both sexes,All ages,"Incidence, Survival follow recent trends",5%,30113.9,6010.1,14809.3,9294.5
AllSites,2017,Both sexes,All ages,"Incidence, Survival at constant rate",0%,147370.2,45840.8,56834.3,44695.2
AllSites,2017,Both sexes,All ages,"Incidence follows recent trend, Survival constant",0%,140116.7,41148.2,55512.9,43455.5
AllSites,2017,Both sexes,All ages,"Survival follows recent trend, Incidence constant",0%,152144.9,45840.8,59812.1,46491.9
AllSites,2017,Both sexes,All ages,"Incidence, Survival follow recent trends",0%,144674.2,41148.2,58364.2,45161.8
AllSites,2017,Both sexes,All ages,"Incidence, Survival follow recent trends",2%,156378.9,47266.4,58364.2,50748.4
AllSites,2017,Both sexes,All ages,"Incidence, Survival follow recent trends",5%,176721.7,57899.7,58364.2,60457.8
Bladder,2017,Both sexes,All ages,"Incidence, Survival at constant rate",0%,4558.5,1137.7,2157.1,1263.6
Bladder,2017,Both sexes,All ages,"Incidence follows recent trend, Survival constant",0%,4229.9,984.9,2050.1,1194.9
Bladder,2017,Both sexes,All ages,"Survival follows recent trend, Incidence constant",0%,4604.3,1137.7,2186,1280.6
Bladder,2017,Both sexes,All ages,"Incidence, Survival follow recent trends",0%,4272,984.9,2076.5,1210.5
Bladder,2017,Both sexes,All ages,"Incidence, Survival follow recent trends",2%,4553.2,1131.3,2076.5,1345.4
Bladder,2017,Both sexes,All ages,"Incidence, Survival follow recent trends",5%,5042.1,1385.9,2076.5,1579.7
Brain,2017,Both sexes,All ages,"Incidence, Survival at constant rate",0%,5217.7,1397.6,1269.3,2550.8
Brain,2017,Both sexes,All ages,"Incidence follows recent trend, Survival constant",0%,5104.5,1332.9,1258.1,2513.5
Brain,2017,Both sexes,All ages,"Survival follows recent trend, Incidence constant",0%,5381.7,1397.6,1315.4,2668.7
Brain,2017,Both sexes,All ages,"Incidence, Survival follow recent trends",0%,5263.5,1332.9,1302.9,2627.7
Brain,2017,Both sexes,All ages,"Incidence, Survival follow recent trends",2%,5833.5,1531.1,1302.9,2999.6
Brain,2017,Both sexes,All ages,"Incidence, Survival follow recent trends",5%,6824.2,1875.5,1302.9,3645.8
Breast,2017,Females,All ages,"Incidence, Survival at constant rate",0%,19303.9,6620.5,8256.2,4427.2
Breast,2017,Females,All ages,"Incidence follows recent trend, Survival constant",0%,18061.1,5929.3,7910.2,4221.7
Breast,2017,Females,All ages,"Survival follows recent trend, Incidence constant",0%,19415.3,6620.5,8328.9,4465.9
Breast,2017,Females,All ages,"Incidence, Survival follow recent trends",0%,18164.3,5929.3,7977.6,4257.5
Breast,2017,Females,All ages,"Incidence, Survival follow recent trends",2%,19662,6810.9,7977.6,4873.5
Breast,2017,Females,All ages,"Incidence, Survival follow recent trends",5%,22264.9,8343.1,7977.6,5944.3
Cervix,2017,Females,All ages,"Incidence, Survival at constant rate",0%,1544.7,497.9,362,684.8
Cervix,2017,Females,All ages,"Incidence follows recent trend, Survival constant",0%,1265.4,318.5,333.6,613.2
Cervix,2017,Females,All ages,"Survival follows recent trend, Incidence constant",0%,1546.9,497.9,362.5,686.5
Cervix,2017,Females,All ages,"Incidence, Survival follow recent trends",0%,1267,318.5,334,614.4
Cervix,2017,Females,All ages,"Incidence, Survival follow recent trends",2%,1397.6,365.9,334,697.7
Cervix,2017,Females,All ages,"Incidence, Survival follow recent trends",5%,1624.7,448.2,334,842.5
Colorectal,2017,Both sexes,All ages,"Incidence, Survival at constant rate",0%,16267.7,6786.6,4553.1,4928
Colorectal,2017,Both sexes,All ages,"Incidence follows recent trend, Survival constant",0%,13986.7,5394,4177.4,4415.3
Colorectal,2017,Both sexes,All ages,"Survival follows recent trend, Incidence constant",0%,16538.1,6786.6,4684.1,5067.4
Colorectal,2017,Both sexes,All ages,"Incidence, Survival follow recent trends",0%,14217.1,5394,4289.4,4533.7
Colorectal,2017,Both sexes,All ages,"Incidence, Survival follow recent trends",2%,15533.5,6196,4289.4,5048.1
Colorectal,2017,Both sexes,All ages,"Incidence, Survival follow recent trends",5%,17821.3,7589.8,4289.4,5942.1
Esophagus,2017,Both sexes,All ages,"Incidence, Survival at constant rate",0%,1634.1,670,196.7,767.3
Esophagus,2017,Both sexes,All ages,"Incidence follows recent trend, Survival constant",0%,1590.7,647.2,193.3,750.3
Esophagus,2017,Both sexes,All ages,"Survival follows recent trend, Incidence constant",0%,1816.2,670,239.2,907
Esophagus,2017,Both sexes,All ages,"Incidence, Survival follow recent trends",0%,1769,647.2,234.9,886.9
Esophagus,2017,Both sexes,All ages,"Incidence, Survival follow recent trends",2%,1982.8,743.4,234.9,1004.5
Esophagus,2017,Both sexes,All ages,"Incidence, Survival follow recent trends",5%,2354.3,910.6,234.9,1208.8
Head_Neck,2017,Both sexes,All ages,"Incidence, Survival at constant rate",0%,4113.2,1221.2,1143.2,1748.8
Head_Neck,2017,Both sexes,All ages,"Incidence follows recent trend, Survival constant",0%,3712.4,1010.4,1078.7,1623.3
Head_Neck,2017,Both sexes,All ages,"Survival follows recent trend, Incidence constant",0%,4147.7,1221.2,1157.2,1769.3
Head_Neck,2017,Both sexes,All ages,"Incidence, Survival follow recent trends",0%,3743.2,1010.4,1091.3,1641.4
Head_Neck,2017,Both sexes,All ages,"Incidence, Survival follow recent trends",2%,4119.4,1160.7,1091.3,1867.5
Head_Neck,2017,Both sexes,All ages,"Incidence, Survival follow recent trends",5%,4773.4,1421.8,1091.3,2260.3
Kidney,2017,Both sexes,All ages,"Incidence, Survival at constant rate",0%,4704,1311.1,2018.4,1374.5
Kidney,2017,Both sexes,All ages,"Incidence follows recent trend, Survival constant",0%,5360.9,1650.7,2193.7,1516.5
Kidney,2017,Both sexes,All ages,"Survival follows recent trend, Incidence constant",0%,4815.3,1311.1,2084.9,1419.3
Kidney,2017,Both sexes,All ages,"Incidence, Survival follow recent trends",0%,5491.3,1650.7,2271.6,1569
Kidney,2017,Both sexes,All ages,"Incidence, Survival follow recent trends",2%,5911.4,1896.2,2271.6,1743.7
Kidney,2017,Both sexes,All ages,"Incidence, Survival follow recent trends",5%,6641.5,2322.7,2271.6,2047.2
Leukemia,2017,Both sexes,All ages,"Incidence, Survival at constant rate",0%,6476.8,883.9,2541.9,3051.1
Leukemia,2017,Both sexes,All ages,"Incidence follows recent trend, Survival constant",0%,6244.9,831,2466.5,2947.4
Leukemia,2017,Both sexes,All ages,"Survival follows recent trend, Incidence constant",0%,6663.8,883.9,2626.8,3153
Leukemia,2017,Both sexes,All ages,"Incidence, Survival follow recent trends",0%,6422.2,831,2547.1,3044.1
Leukemia,2017,Both sexes,All ages,"Incidence, Survival follow recent trends",2%,6952.2,954.6,2547.1,3450.6
Leukemia,2017,Both sexes,All ages,"Incidence, Survival follow recent trends",5%,7873.4,1169.3,2547.1,4157
Lung,2017,Both sexes,All ages,"Incidence, Survival at constant rate",0%,13917.2,6041.8,2118.8,5756.6
Lung,2017,Both sexes,All ages,"Incidence follows recent trend, Survival constant",0%,11923.3,4938.1,1945.4,5039.8
Lung,2017,Both sexes,All ages,"Survival follows recent trend, Incidence constant",0%,14254.8,6041.8,2220,5993
Lung,2017,Both sexes,All ages,"Incidence, Survival follow recent trends",0%,12203.5,4938.1,2030.3,5235
Lung,2017,Both sexes,All ages,"Incidence, Survival follow recent trends",2%,13662.4,5672.4,2030.3,5959.8
Lung,2017,Both sexes,All ages,"Incidence, Survival follow recent trends",5%,16198.1,6948.5,2030.3,7219.4
Lymphoma,2017,Both sexes,All ages,"Incidence, Survival at constant rate",0%,14312.4,3536,5812.3,4964.1
Lymphoma,2017,Both sexes,All ages,"Incidence follows recent trend, Survival constant",0%,14123.8,3441,5768,4914.8
Lymphoma,2017,Both sexes,All ages,"Survival follows recent trend, Incidence constant",0%,14590.1,3536,5955.2,5098.9
Lymphoma,2017,Both sexes,All ages,"Incidence, Survival follow recent trends",0%,14397,3441,5908.8,5047.2
Lymphoma,2017,Both sexes,All ages,"Incidence, Survival follow recent trends",2%,15563.2,3952.6,5908.8,5701.7
Lymphoma,2017,Both sexes,All ages,"Incidence, Survival follow recent trends",5%,17589.9,4841.8,5908.8,6839.3
Melanoma,2017,Both sexes,All ages,"Incidence, Survival at constant rate",0%,2924.1,548.4,1989.4,386.3
Melanoma,2017,Both sexes,All ages,"Incidence follows recent trend, Survival constant",0%,3328.5,730.3,2159.2,438.9
Melanoma,2017,Both sexes,All ages,"Survival follows recent trend, Incidence constant",0%,2935.7,548.4,1999,388.3
Melanoma,2017,Both sexes,All ages,"Incidence, Survival follow recent trends",0%,3342.1,730.3,2170.5,441.3
Melanoma,2017,Both sexes,All ages,"Incidence, Survival follow recent trends",2%,3512.1,838.9,2170.5,502.6
Melanoma,2017,Both sexes,All ages,"Incidence, Survival follow recent trends",5%,3807.4,1027.7,2170.5,609.2
Ovary,2017,Females,All ages,"Incidence, Survival at constant rate",0%,5775.8,1504.7,1871.7,2399.4
Ovary,2017,Females,All ages,"Incidence follows recent trend, Survival constant",0%,4598.9,865.3,1669.2,2064.4
Ovary,2017,Females,All ages,"Survival follows recent trend, Incidence constant",0%,5928.3,1504.7,1934,2489.7
Ovary,2017,Females,All ages,"Incidence, Survival follow recent trends",0%,4705.8,865.3,1713.4,2127.1
Ovary,2017,Females,All ages,"Incidence, Survival follow recent trends",2%,5137,993.9,1713.4,2429.7
Ovary,2017,Females,All ages,"Incidence, Survival follow recent trends",5%,5886.6,1217.5,1713.4,2955.7
Pancreas,2017,Both sexes,All ages,"Incidence, Survival at constant rate",0%,2664.7,1640.9,137.3,886.5
Pancreas,2017,Both sexes,All ages,"Incidence follows recent trend, Survival constant",0%,2640.6,1624.5,136.6,879.5
Pancreas,2017,Both sexes,All ages,"Survival follows recent trend, Incidence constant",0%,2889.1,1640.9,188.5,1059.7
Pancreas,2017,Both sexes,All ages,"Incidence, Survival follow recent trends",0%,2863.2,1624.5,187.5,1051.2
Pancreas,2017,Both sexes,All ages,"Incidence, Survival follow recent trends",2%,3252.9,1866.1,187.5,1199.3
Pancreas,2017,Both sexes,All ages,"Incidence, Survival follow recent trends",5%,3930.2,2285.9,187.5,1456.8
Prostate,2017,Males,All ages,"Incidence, Survival at constant rate",0%,14802.3,5540.2,7900.5,1361.5
Prostate,2017,Males,All ages,"Incidence follows recent trend, Survival constant",0%,14107.6,5113.3,7667,1327.3
Prostate,2017,Males,All ages,"Survival follows recent trend, Incidence constant",0%,14856.1,5540.2,7946.6,1369.3
Prostate,2017,Males,All ages,"Incidence, Survival follow recent trends",0%,14159.2,5113.3,7711.3,1334.7
Prostate,2017,Males,All ages,"Incidence, Survival follow recent trends",2%,14961.4,5873.6,7711.3,1376.6
Prostate,2017,Males,All ages,"Incidence, Survival follow recent trends",5%,16355.7,7194.9,7711.3,1449.5
Stomach,2017,Both sexes,All ages,"Incidence, Survival at constant rate",0%,2111.3,959.1,269.9,882.3
Stomach,2017,Both sexes,All ages,"Incidence follows recent trend, Survival constant",0%,1770.3,755.3,246.5,768.4
Stomach,2017,Both sexes,All ages,"Survival follows recent trend, Incidence constant",0%,2201.5,959.1,291.6,950.8
Stomach,2017,Both sexes,All ages,"Incidence, Survival follow recent trends",0%,1845.8,755.3,264.9,825.6
Stomach,2017,Both sexes,All ages,"Incidence, Survival follow recent trends",2%,2066.6,867.7,264.9,934
Stomach,2017,Both sexes,All ages,"Incidence, Survival follow recent trends",5%,2450.2,1062.8,264.9,1122.5
Uterus,2017,Both sexes,All ages,"Incidence, Survival at constant rate",0%,2896.2,1212.8,860.3,823.1
Uterus,2017,Both sexes,All ages,"Incidence follows recent trend, Survival constant",0%,2729.6,1105.8,830.9,792.9
Uterus,2017,Both sexes,All ages,"Survival follows recent trend, Incidence constant",0%,2891.7,1212.8,856.6,822.4
Uterus,2017,Both sexes,All ages,"Incidence, Survival follow recent trends",0%,2725.4,1105.8,827.4,792.3
Uterus,2017,Both sexes,All ages,"Incidence, Survival follow recent trends",2%,2990.5,1270.2,827.4,892.9
Uterus,2017,Both sexes,All ages,"Incidence, Survival follow recent trends",5%,3451.1,1556,827.4,1067.8
Other,2017,Both sexes,All ages,"Incidence, Survival at constant rate",0%,24145.7,4330.6,13376.1,6439
Other,2017,Both sexes,All ages,"Incidence follows recent trend, Survival constant",0%,25337.7,4475.7,13428.5,7433.5
Other,2017,Both sexes,All ages,"Survival follows recent trend, Incidence constant",0%,26668.1,4330.6,15435.4,6902.1
Other,2017,Both sexes,All ages,"Incidence, Survival follow recent trends",0%,27822.6,4475.7,15424.9,7922.1
Other,2017,Both sexes,All ages,"Incidence, Survival follow recent trends",2%,29287.2,5141.1,15424.9,8721.2
Other,2017,Both sexes,All ages,"Incidence, Survival follow recent trends",5%,31832.7,6297.7,15424.9,10110.1
AllSites,2018,Both sexes,All ages,"Incidence, Survival at constant rate",0%,150779.1,46648,58333.3,45797.8
AllSites,2018,Both sexes,All ages,"Incidence follows recent trend, Survival constant",0%,142613.3,41516.4,56718.7,44378.2
AllSites,2018,Both sexes,All ages,"Survival follows recent trend, Incidence constant",0%,156408.2,46648,61848.4,47911.8
AllSites,2018,Both sexes,All ages,"Incidence, Survival follow recent trends",0%,147942.6,41516.4,60069.3,46356.9
AllSites,2018,Both sexes,All ages,"Incidence, Survival follow recent trends",2%,161666.5,48643.1,60069.3,52954.1
AllSites,2018,Both sexes,All ages,"Incidence, Survival follow recent trends",5%,186114.5,61338.6,60069.3,64706.5
Bladder,2018,Both sexes,All ages,"Incidence, Survival at constant rate",0%,4665.7,1167.8,2204.2,1293.7
Bladder,2018,Both sexes,All ages,"Incidence follows recent trend, Survival constant",0%,4285.9,994.7,2078.1,1213.1
Bladder,2018,Both sexes,All ages,"Survival follows recent trend, Incidence constant",0%,4720.2,1167.8,2238.5,1313.9
Bladder,2018,Both sexes,All ages,"Incidence, Survival follow recent trends",0%,4335.5,994.7,2109.2,1231.6
Bladder,2018,Both sexes,All ages,"Incidence, Survival follow recent trends",2%,4664.5,1165.5,2109.2,1389.8
Bladder,2018,Both sexes,All ages,"Incidence, Survival follow recent trends",5%,5250.5,1469.7,2109.2,1671.6
Brain,2018,Both sexes,All ages,"Incidence, Survival at constant rate",0%,5323.8,1417.5,1298.4,2607.9
Brain,2018,Both sexes,All ages,"Incidence follows recent trend, Survival constant",0%,5196.9,1346.6,1285.2,2565.2
Brain,2018,Both sexes,All ages,"Survival follows recent trend, Incidence constant",0%,5515,1417.5,1352.9,2744.6
Brain,2018,Both sexes,All ages,"Incidence, Survival follow recent trends",0%,5381.7,1346.6,1337.9,2697.2
Brain,2018,Both sexes,All ages,"Incidence, Survival follow recent trends",2%,6053.1,1577.8,1337.9,3137.4
Brain,2018,Both sexes,All ages,"Incidence, Survival follow recent trends",5%,7249,1989.5,1337.9,3921.5
Breast,2018,Females,All ages,"Incidence, Survival at constant rate",0%,19700,6697.5,8471.6,4530.8
Breast,2018,Females,All ages,"Incidence follows recent trend, Survival constant",0%,18346.9,5963.1,8081.6,4302.1
Breast,2018,Females,All ages,"Survival follows recent trend, Incidence constant",0%,19834.9,6697.5,8560,4577.4
Breast,2018,Females,All ages,"Incidence, Survival follow recent trends",0%,18471.5,5963.1,8163.3,4345.1
Breast,2018,Females,All ages,"Incidence, Survival follow recent trends",2%,20220.7,6986.8,8163.3,5070.7
Breast,2018,Females,All ages,"Incidence, Survival follow recent trends",5%,23336.9,8810.3,8163.3,6363.4
Cervix,2018,Females,All ages,"Incidence, Survival at constant rate",0%,1543.9,498.5,361.6,683.9
Cervix,2018,Females,All ages,"Incidence follows recent trend, Survival constant",0%,1245.4,309.8,330.1,605.5
Cervix,2018,Females,All ages,"Survival follows recent trend, Incidence constant",0%,1546.4,498.5,362.2,685.8
Cervix,2018,Females,All ages,"Incidence, Survival follow recent trends",0%,1247.2,309.8,330.6,606.8
Cervix,2018,Females,All ages,"Incidence, Survival follow recent trends",2%,1395.3,363,330.6,701.7
Cervix,2018,Females,All ages,"Incidence, Survival follow recent trends",5%,1659,457.7,330.6,870.7
Colorectal,2018,Both sexes,All ages,"Incidence, Survival at constant rate",0%,16630.9,6927.3,4665.8,5037.8
Colorectal,2018,Both sexes,All ages,"Incidence follows recent trend, Survival constant",0%,14101.9,5416.3,4229,4456.7
Colorectal,2018,Both sexes,All ages,"Survival follows recent trend, Incidence constant",0%,16949.2,6927.3,4821.3,5200.7
Colorectal,2018,Both sexes,All ages,"Incidence, Survival follow recent trends",0%,14369.9,5416.3,4360.3,4593.3
Colorectal,2018,Both sexes,All ages,"Incidence, Survival follow recent trends",2%,15900.4,6346,4360.3,5194
Colorectal,2018,Both sexes,All ages,"Incidence, Survival follow recent trends",5%,18626.8,8002.3,4360.3,6264.2
Esophagus,2018,Both sexes,All ages,"Incidence, Survival at constant rate",0%,1677.3,683.1,203.7,790.6
Esophagus,2018,Both sexes,All ages,"Incidence follows recent trend, Survival constant",0%,1628.9,658.1,199.7,771
Esophagus,2018,Both sexes,All ages,"Survival follows recent trend, Incidence constant",0%,1889.1,683.1,253.6,952.4
Esophagus,2018,Both sexes,All ages,"Incidence, Survival follow recent trends",0%,1835.7,658.1,248.5,929.1
Esophagus,2018,Both sexes,All ages,"Incidence, Survival follow recent trends",2%,2090.5,771.1,248.5,1070.9
Esophagus,2018,Both sexes,All ages,"Incidence, Survival follow recent trends",5%,2544.5,972.4,248.5,1323.6
Head_Neck,2018,Both sexes,All ages,"Incidence, Survival at constant rate",0%,4187.9,1241,1165.3,1781.7
Head_Neck,2018,Both sexes,All ages,"Incidence follows recent trend, Survival constant",0%,3738,1011,1089.6,1637.4
Head_Neck,2018,Both sexes,All ages,"Survival follows recent trend, Incidence constant",0%,4229.2,1241,1182.2,1806
Head_Neck,2018,Both sexes,All ages,"Incidence, Survival follow recent trends",0%,3774.5,1011,1104.6,1658.9
Head_Neck,2018,Both sexes,All ages,"Incidence, Survival follow recent trends",2%,4211.6,1184.6,1104.6,1922.4
Head_Neck,2018,Both sexes,All ages,"Incidence, Survival follow recent trends",5%,4990.3,1493.8,1104.6,2391.9
Kidney,2018,Both sexes,All ages,"Incidence, Survival at constant rate",0%,4839.7,1337.9,2082.5,1419.3
Kidney,2018,Both sexes,All ages,"Incidence follows recent trend, Survival constant",0%,5589.5,1713.3,2290.8,1585.5
Kidney,2018,Both sexes,All ages,"Survival follows recent trend, Incidence constant",0%,4971.8,1337.9,2161.4,1472.5
Kidney,2018,Both sexes,All ages,"Incidence, Survival follow recent trends",0%,5746.2,1713.3,2384.4,1648.5
Kidney,2018,Both sexes,All ages,"Incidence, Survival follow recent trends",2%,6251.6,2007.4,2384.4,1859.9
Kidney,2018,Both sexes,All ages,"Incidence, Survival follow recent trends",5%,7152,2531.3,2384.4,2236.4
Leukemia,2018,Both sexes,All ages,"Incidence, Survival at constant rate",0%,6631.9,897.2,2605.7,3129
Leukemia,2018,Both sexes,All ages,"Incidence follows recent trend, Survival constant",0%,6382.9,841.6,2524,3017.4
Leukemia,2018,Both sexes,All ages,"Survival follows recent trend, Incidence constant",0%,6851.9,897.2,2706.2,3248.5
Leukemia,2018,Both sexes,All ages,"Incidence, Survival follow recent trends",0%,6591.3,841.6,2619.2,3130.5
Leukemia,2018,Both sexes,All ages,"Incidence, Survival follow recent trends",2%,7217.8,986,2619.2,3612.5
Leukemia,2018,Both sexes,All ages,"Incidence, Survival follow recent trends",5%,8333.9,1243.4,2619.2,4471.2
Lung,2018,Both sexes,All ages,"Incidence, Survival at constant rate",0%,14185.5,6155.6,2161.4,5868.5
Lung,2018,Both sexes,All ages,"Incidence follows recent trend, Survival constant",0%,11995,4959.7,1962.9,5072.4
Lung,2018,Both sexes,All ages,"Survival follows recent trend, Incidence constant",0%,14574,6155.6,2278.7,6139.7
Lung,2018,Both sexes,All ages,"Incidence, Survival follow recent trends",0%,12312.9,4959.7,2060,5293.1
Lung,2018,Both sexes,All ages,"Incidence, Survival follow recent trends",2%,14009.9,5811.1,2060,6138.8
Lung,2018,Both sexes,All ages,"Incidence, Survival follow recent trends",5%,17033.1,7327.8,2060,7645.4
Lymphoma,2018,Both sexes,All ages,"Incidence, Survival at constant rate",0%,14626.7,3591.5,5943.1,5092.2
Lymphoma,2018,Both sexes,All ages,"Incidence follows recent trend, Survival constant",0%,14415.1,3488.6,5891.4,5035.1
Lymphoma,2018,Both sexes,All ages,"Survival follows recent trend, Incidence constant",0%,14955.9,3591.5,6112.2,5252.2
Lymphoma,2018,Both sexes,All ages,"Incidence, Survival follow recent trends",0%,14738.6,3488.6,6058,5192.1
Lymphoma,2018,Both sexes,All ages,"Incidence, Survival follow recent trends",2%,16113.4,4087.4,6058,5968
Lymphoma,2018,Both sexes,All ages,"Incidence, Survival follow recent trends",5%,18562.5,5154.2,6058,7350.3
Melanoma,2018,Both sexes,All ages,"Incidence, Survival at constant rate",0%,3002.5,556.3,2051.7,394.5
Melanoma,2018,Both sexes,All ages,"Incidence follows recent trend, Survival constant",0%,3467,756.8,2255.4,454.9
Melanoma,2018,Both sexes,All ages,"Survival follows recent trend, Incidence constant",0%,3016.1,556.3,2063.1,396.7
Melanoma,2018,Both sexes,All ages,"Incidence, Survival follow recent trends",0%,3483.3,756.8,2268.9,457.6
Melanoma,2018,Both sexes,All ages,"Incidence, Survival follow recent trends",2%,3686.6,886.7,2268.9,531
Melanoma,2018,Both sexes,All ages,"Incidence, Survival follow recent trends",5%,4048.7,1118.1,2268.9,661.6
Ovary,2018,Females,All ages,"Incidence, Survival at constant rate",0%,5862.6,1519.2,1900.2,2443.2
Ovary,2018,Females,All ages,"Incidence follows recent trend, Survival constant",0%,4565.4,837.2,1665.1,2063.1
Ovary,2018,Females,All ages,"Survival follows recent trend, Incidence constant",0%,6042.8,1519.2,1974.2,2549.4
Ovary,2018,Females,All ages,"Incidence, Survival follow recent trends",0%,4688.1,837.2,1716.1,2134.8
Ovary,2018,Females,All ages,"Incidence, Survival follow recent trends",2%,5182.2,981,1716.1,2485.1
Ovary,2018,Females,All ages,"Incidence, Survival follow recent trends",5%,6062.4,1237,1716.1,3109.3
Pancreas,2018,Both sexes,All ages,"Incidence, Survival at constant rate",0%,2720.8,1671.9,141.8,907
Pancreas,2018,Both sexes,All ages,"Incidence follows recent trend, Survival constant",0%,2695.3,1654.6,141.1,899.6
Pancreas,2018,Both sexes,All ages,"Survival follows recent trend, Incidence constant",0%,2978.6,1671.9,201.4,1105.3
Pancreas,2018,Both sexes,All ages,"Incidence, Survival follow recent trends",0%,2950.8,1654.6,200.1,1096
Pancreas,2018,Both sexes,All ages,"Incidence, Survival follow recent trends",2%,3413,1938.7,200.1,1274.2
